'id','name','created_at'
'53af4926-52ee-41d0-9acc-ae7230300001','Biology Department','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300002','Business School','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300003','Chemistry Department','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300004','Computer Science','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300005','Economics','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300006','Education','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300007','Engineering','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300008','Environmental Science','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300009','History','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300010','Literature','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300011','Mathematics','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300012','Medicine','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300013','Music','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300014','Nursing School','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300015','Philosophy','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300016','Physics','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300017','Psychology','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300018','Social Sciences','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300019','Sociology','2017-03-25 02:17:06'
'53af4926-52ee-41d0-9acc-ae7230300020','Visual Arts','2017-03-25 02:17:06'
